car_code,sub_code,make,model,spec,current_price,depreciation,down_payment,installment,coe,road_tax,omv,arf,fuel_economy,fuel_type,coe_incl
12451,7257,BMW,BMW X7,xDrive40i M Sport 7-Seater (A),515888,43300,206355,4402,70200,2382,107305,165149,9.2,Petrol,True
12452,7107,BMW,BMW 7 Series,730Li Pure Excellence (A),458888,-,183555,3916,70200,1210,-,-,14,Petrol,True
12452,7260,BMW,BMW 7 Series,730Li M Sport (A),461888,39400,184755,3941,70200,1210,91142,136056,14,Petrol,True
12452,7108,BMW,BMW 7 Series,740Li Pure Excellence (A),490888,-,196355,4189,70200,2382,-,-,12.7,Petrol,True
12452,7267,BMW,BMW 7 Series,740Li M Sport (A),498888,-,199555,4257,70200,2382,-,-,12.7,Petrol,True
12453,8329,Land Rover,Land Rover Range Rover Evoque Mild Hybrid,1.5 R-Dynamic SE (A),248999,-,99600,2125,70200,682,-,-,14.9,Petrol-Electric,True
12453,6977,Land Rover,Land Rover Range Rover Evoque Mild Hybrid,2.0 Si4 R Dynamic SE [200PS] (A),272999,24600,109200,2329,70200,1208,43651,53111,12.7,Petrol-Electric,True
12453,7421,Land Rover,Land Rover Range Rover Evoque Mild Hybrid,2.0 Si4 R-Dynamic HSE [249PS] (A),291999,26200,116800,2492,70200,1208,49207,60890,12.3,Petrol-Electric,True
12454,8457,Porsche,Porsche Macan,PDK 2.0 (A),260888,-,-,-,70200,1194,-,-,11.2,Petrol,False
12454,8458,Porsche,Porsche Macan,S PDK 2.9 (A),299988,-,-,-,70200,2260,-,-,10.4,Petrol,False
12454,8459,Porsche,Porsche Macan,GTS PDK 2.9 (A),359988,-,-,-,70200,2260,-,-,10,Petrol,False
12455,7637,Porsche,Porsche 911,Carrera PDK 3.0 (A),486788,-,-,-,70200,2362,126762,200172,10.6,Petrol,False
12455,6986,Porsche,Porsche 911,Carrera S PDK 3.0 (A),554588,-,-,-,70200,2362,146183,235129,10.5,Petrol,False
12455,6985,Porsche,Porsche 911,Carrera 4S PDK 3.0 (A),592088,-,-,-,70200,2362,-,-,10.4,Petrol,False
12455,7642,Porsche,Porsche 911,Turbo S PDK 3.8 (A),932488,-,-,-,70200,3550,-,-,,Petrol,False
12456,7167,Porsche,Porsche 911 Cabriolet,Carrera PDK 3.0 (A),552488,-,-,-,70200,2362,-,-,10.4,Petrol,False
12456,7634,Porsche,Porsche 911 Cabriolet,Carrera 4 PDK 3.0 (A),589988,-,-,-,70200,2362,-,-,10.4,Petrol,False
12456,7635,Porsche,Porsche 911 Cabriolet,Carrera S PDK 3.0 (A),620288,-,-,-,70200,2362,-,-,10.4,Petrol,False
12456,7636,Porsche,Porsche 911 Cabriolet,Carrera PDK 4S 3.0 (A),657788,-,-,-,70200,2362,-,-,10.4,Petrol,False
12457,6849,BMW M Series,BMW M Series M850i Coupe,4.4 xDrive (A),653888,56700,261555,5580,70200,4566,112250,174050,9.6,Petrol,True
12460,6880,Peugeot,Peugeot Partner Diesel,1.5 BlueHDi LWB [Euro VI] (A),91888,9200,9189,1176,38890,-,22600,1130,21.7,Diesel (Euro VI),True
12461,6869,SEAT,SEAT Tarraco,1.4 TSI DSG Style 7-Seater (A),154999,-,62000,1323,70200,622,-,-,13.7,Petrol,True
12461,6870,SEAT,SEAT Tarraco,1.4 TSI DSG Xcellence 7-Seater (A),160999,14200,64400,1374,70200,622,32789,37905,13.7,Petrol,True
12462,6878,Perodua,Perodua Myvi,1.3 X (A),79999,7700,24000,796,47001,584,12347,5000,21.1,Petrol,True
12471,8133,SKODA,SKODA Scala,1.5 TSI Ambition (A),119900,-,35970,1194,70200,684,-,-,19.6,Petrol,True
12471,8134,SKODA,SKODA Scala,1.5 TSI Style (A),129900,-,51960,1108,70200,684,-,-,19.6,Petrol,True
12471,8135,SKODA,SKODA Scala,1.5 TSI Monte Carlo (A),135900,-,54360,1160,70200,684,-,-,19.6,Petrol,True
12476,6928,Alpine,Alpine A110,1.8 Pure (A),248800,-,-,-,70200,976,52000,65600,15.6,Petrol,False
12476,7759,Alpine,Alpine A110,1.8 Legende (A),258800,-,-,-,70200,976,-,-,15.6,Petrol,False
12476,8347,Alpine,Alpine A110,1.8 S (A),268800,-,-,-,70200,976,-,-,14.3,Petrol,False
12478,6932,Porsche,Porsche Cayenne E-Hybrid,3.0 (A),405488,-,-,-,70200,2380,-,-,31.25,Petrol-Electric,False
12481,6936,Suzuki,Suzuki Jimny,1.5 Standard (A),112900,-,-,-,47001,662,-,-,14.4,Petrol,True
12481,6937,Suzuki,Suzuki Jimny,1.5 Standard Two-Tone (A),113900,-,-,-,47001,662,-,-,14.4,Petrol,True
12481,7220,Suzuki,Suzuki Jimny,1.5 Premium (A),115900,-,-,-,47001,662,-,-,14.4,Petrol,True
12481,7221,Suzuki,Suzuki Jimny,1.5 Premium Two-Tone (A),116900,-,-,-,47001,662,-,-,14.4,Petrol,True
12482,7277,Renault,Renault Kadjar,1.3T TCe  (A),130999,12100,39300,1304,70200,586,19900,19900,15.9,Petrol,True
12482,8378,Renault,Renault Kadjar,1.3T TCe Bold Edition (A),133999,12400,40200,1334,70200,586,19900,19900,16.9,Petrol,True
12482,8380,Renault,Renault Kadjar,1.3T TCe Bose Edition (A),156999,14500,62800,1340,70200,586,23500,24900,16.9,Petrol,True
12483,8470,Citroen,Citroen C5 Aircross,1.6 PureTech 180 EAT8 Feel Pack (A),141999,-,56800,1212,70200,742,-,-,17.9,Petrol,True
12485,7086,Mazda,Mazda 3 Sedan Mild Hybrid,1.5 Classic (A),98888,9600,39555,844,47001,682,20029,5041,18.1,Petrol-Electric,True
12485,7084,Mazda,Mazda 3 Sedan Mild Hybrid,1.5 Elegance (A),103888,9900,41555,886,47001,682,23233,9526,18.1,Petrol-Electric,True
12485,7085,Mazda,Mazda 3 Sedan Mild Hybrid,1.5 Astina (A),110888,10500,44355,946,47001,682,24770,11678,18.1,Petrol-Electric,True
12486,7088,Mazda,Mazda 3 Hatchback Mild Hybrid,1.5 Astina (A),115888,10900,46355,989,47001,682,26370,13918,18.1,Petrol-Electric,True
12498,6997,Porsche,Porsche Cayenne Coupe,3.0 (A),367688,-,-,-,70200,2380,91107,135993,10.1,Petrol,False
12498,7589,Porsche,Porsche Cayenne Coupe,S 2.9 (A),457688,-,-,-,70200,2260,-,-,10,Petrol,False
12498,7739,Porsche,Porsche Cayenne Coupe,GTS 4.0 (A),541288,-,-,-,70200,3942,-,-,8.19,Petrol,False
12498,6998,Porsche,Porsche Cayenne Coupe,Turbo 4.0 (A),629388,-,-,-,70200,3942,-,-,8.1,Petrol,False
12503,7024,BMW,BMW i3s Electric,BEV Suite [120Ah] (A),226888,-,90755,1936,70200,1470,-,-,-,Electric,True
12505,7362,Ferrari,Ferrari F8 Tributo,3.9 V8 (A),998000,-,-,-,70200,3796,280000,-,7.8,Petrol,False
12509,8427,Kia,Kia Niro Electric,Short Range 39.2 kWh (A),159999,-,64000,1365,70200,1060,-,-,15.3,Electric,True
12509,7044,Kia,Kia Niro Electric,Long Range 64 kWh (A),169999,-,68000,1451,70200,1646,-,-,14.7,Electric,True
12511,7053,BMW ALPINA,BMW ALPINA B5 Bi-Turbo Touring,4.4 V8 (A),480800,-,-,-,70200,4566,-,-,9,Petrol,False
12512,7054,Mercedes-Benz,Mercedes-Benz AMG GT 4-Door Coupe Mild Hybrid,53 4MATIC+ (A),614888,-,245955,5247,70200,2384,-,-,10.6,Petrol-Electric,True
12513,7055,Mercedes-Benz,Mercedes-Benz AMG GT 4-Door Coupe,63 S 4MATIC+ (A),813888,-,325555,6945,70200,3920,-,-,8.9,Petrol,True
12515,7057,Jeep,Jeep Wrangler Sahara 2-Door,2.0 Turbo (A),260999,-,104400,2227,70200,1206,-,-,11.6,Petrol,True
12516,7060,Land Rover,Land Rover Range Rover Sport Mild Hybrid,3.0 P400 HST (A),438999,37500,175600,3746,70200,2380,86207,127173,10.9,Petrol-Electric,True
12518,7089,Honda,Honda Accord,1.5 VTEC Turbo (A),180899,15700,72360,1544,70200,684,39322,47051,15.6,Petrol,True
12528,7798,Audi,Audi RS 5 Sportback,2.9 TFSI qu Tip (A),434473,-,173789,3707,70200,2260,-,-,10.6,Petrol,True
12534,7961,Mercedes-Benz,Mercedes-Benz CLA-Class Coupe,CLA180 Progressive (A),173888,15400,69555,1484,47001,586,33877,39428,16.9,Petrol,True
12534,7106,Mercedes-Benz,Mercedes-Benz CLA-Class Coupe,CLA200 Progressive (A),227888,20700,91155,1945,70200,586,36237,42732,17.5,Petrol,True
12534,7433,Mercedes-Benz,Mercedes-Benz CLA-Class Coupe,CLA35 AMG 4MATIC (A),287888,26000,115155,2457,70200,1202,44901,54861,,Petrol,True
12534,7851,Mercedes-Benz,Mercedes-Benz CLA-Class Coupe,CLA45 S AMG 4MATIC+ (A),359888,31700,143955,3071,70200,1202,62758,84964,11.5,Petrol,True
12535,7111,BMW,BMW 7 Series Plug-in Hybrid,745Le Pure Excellence (A),544888,-,217955,4649,70200,2382,-,-,35.7,Petrol-Electric,True
12538,7116,Mercedes-Benz,Mercedes-Benz GLE-Class Mild Hybrid,GLE450 4MATIC (A),428888,37400,171555,3660,70200,2384,75993,108787,11,Petrol-Electric,True
12538,7850,Mercedes-Benz,Mercedes-Benz GLE-Class Mild Hybrid,GLE53 AMG 4MATIC+ (A),469888,-,187955,4009,70200,2384,-,-,10.6,Petrol-Electric,True
12545,7675,Audi,Audi A4 Sedan Mild Hybrid,2.0 TFSI S tronic (A),210013,19100,84005,1792,70200,1194,33322,38651,16.4,Petrol-Electric,True
12546,7496,Audi,Audi A1 Sportback,1.0 TFSI S tronic S Line (A),150584,13800,60234,1285,47001,390,23957,25540,18.5,Petrol,True
12549,7145,Lotus,Lotus Elise,Sport 220 (M),239000,-,-,-,70200,976,-,-,13.3,Petrol,False
12549,8154,Lotus,Lotus Elise,Sport 240 Final Edition (M),250000,-,-,-,70200,976,-,-,12.8,Petrol,False
12550,8155,Lotus,Lotus Exige,Sport 390 Final Edition (M),340000,-,-,-,70200,3098,-,-,9.8,Petrol,False
12550,8156,Lotus,Lotus Exige,Sport 420 Final Edition (M),440000,-,-,-,70200,3098,-,-,9.8,Petrol,False
12550,7147,Lotus,Lotus Exige,Cup 430 Final Edition (M),490000,-,-,-,70200,3098,-,-,9.8,Petrol,False
12560,8049,BMW,BMW 1 Series Hatchback,116i Sport (A),155888,13800,62355,1330,47001,684,31079,35511,18.2,Petrol,True
12560,8050,BMW,BMW 1 Series Hatchback,116i Luxury (A),160888,14200,64355,1373,47001,684,32498,37497,18.2,Petrol,True
12561,7719,Mercedes-Benz,Mercedes-Benz A-Class Saloon,A180 Progressive (A),169888,15200,67955,1450,47001,586,31643,36300,16.9,Petrol,True
12561,7191,Mercedes-Benz,Mercedes-Benz A-Class Saloon,A200 Progressive (A),209888,19100,83955,1791,70200,586,33075,38305,18.2,Petrol,True
12561,7192,Mercedes-Benz,Mercedes-Benz A-Class Saloon,A200 AMG Line (A),212888,19300,85155,1817,70200,586,34089,39725,18.2,Petrol,True
12561,7193,Mercedes-Benz,Mercedes-Benz A-Class Saloon,A250 AMG Line (A),237888,21400,95155,2030,70200,1202,39939,47915,15.6,Petrol,True
12561,7508,Mercedes-Benz,Mercedes-Benz A-Class Saloon,A35 AMG 4MATIC (A),278888,25300,111555,2380,70200,1202,42452,51433,,Petrol,True
12563,7199,Jeep,Jeep Wrangler Rubicon 4-Door,2.0 Turbo (A),285999,26000,114400,2440,70200,1206,43135,52389,11.6,Petrol,True
12568,7242,Nissan,Nissan Serena e-POWER Hybrid,HIGHWAY STAR (A),158800,14900,63520,1355,70200,860,30656,19918,18.5,Petrol-Electric,True
12568,7957,Nissan,Nissan Serena e-POWER Hybrid,Touring Edition (A),161800,-,64720,1381,70200,860,-,-,18.5,Petrol-Electric,True
12581,7268,Nissan,Nissan NV200 Petrol,1.6 Panel Van (M),65800,-,6580,842,38890,-,-,-,14.3,Petrol,True
12581,7269,Nissan,Nissan NV200 Petrol,1.6 Panel Van (A),66800,-,6680,855,38890,-,-,-,12.8,Petrol,True
12588,7286,BMW M Series,BMW M Series M850i Gran Coupe,4.4 xDrive (A),653888,-,261555,5580,70200,4566,-,-,9.3,Petrol,True
12589,7287,BMW,BMW 8 Series Gran Coupe,840i Chrome Line (A),518888,-,207555,4428,70200,2382,-,-,13.3,Petrol,True
12589,7427,BMW,BMW 8 Series Gran Coupe,840i M Sport (A),524888,-,209955,4479,70200,2382,-,-,13.3,Petrol,True
12594,7300,Ssangyong,Ssangyong Musso Sports Diesel,2.2 2WD [Euro VI] (M),125888,12600,12589,1611,38890,-,21517,1076,13.2,Diesel (Euro VI),True
12594,7301,Ssangyong,Ssangyong Musso Sports Diesel,2.2 2WD [Euro VI] (A),131888,13200,13189,1688,38890,-,23315,1166,12,Diesel (Euro VI),True
12594,7302,Ssangyong,Ssangyong Musso Sports Diesel,2.2 4WD [Euro VI] (M),131888,13200,13189,1688,38890,-,23302,1165,12.7,Diesel (Euro VI),True
12594,7303,Ssangyong,Ssangyong Musso Sports Diesel,2.2 4WD [Euro VI] (A),137888,13800,13789,1765,38890,-,25100,1255,11.6,Diesel (Euro VI),True
12595,7306,BMW M Series,BMW M Series M135i,2.0 xDrive (A),265888,23500,106355,2269,70200,1210,50069,62124,13.3,Petrol,True
12597,7309,Ssangyong,Ssangyong Musso Grand Diesel,2.2 2WD [Euro VI] (M),131888,13200,13189,1688,38890,-,21876,1094,12.3,Diesel (Euro VI),True
12597,7310,Ssangyong,Ssangyong Musso Grand Diesel,2.2 2WD [Euro VI] (A),137888,13800,13789,1765,38890,-,23667,1183,11.5,Diesel (Euro VI),True
12597,7311,Ssangyong,Ssangyong Musso Grand Diesel,2.2 4WD [Euro VI] (M),137888,13800,13789,1765,38890,-,23654,1183,12,Diesel (Euro VI),True
12597,7312,Ssangyong,Ssangyong Musso Grand Diesel,2.2 4WD [Euro VI] (A),143888,14400,14389,1842,38890,-,25445,1272,11.1,Diesel (Euro VI),True
12598,7321,BMW M Series,BMW M Series M340i,3.0 xDrive (A),364888,32100,145955,3114,70200,2382,64393,87907,13.5,Petrol,True
12603,7400,Hyundai,Hyundai Venue,1.6 GLS (A),97999,9000,29400,976,47001,742,15110,15110,17.2,Petrol,True
12603,7401,Hyundai,Hyundai Venue,1.6 GLS 'S' (A),103999,9600,31200,1035,47001,742,16941,16941,17.2,Petrol,True
12604,8183,Land Rover,Land Rover Defender 90,2.0 SE 6-Seater (A),313999,28000,125600,2679,70200,1208,53346,68023,9.7,Petrol,True
12606,7336,BMW,BMW 3 Series Plug-in Hybrid,330e Luxury (A),306888,27300,122755,2619,70200,1210,53592,68466,55.5,Petrol-Electric,True
12608,8160,Mitsubishi,Mitsubishi L200 Triton Diesel,2.2 Double Cab Modern [Euro VI] (A),152988,15300,15299,1958,38890,-,30000,1500,12.8,Diesel (Euro VI),True
12608,8161,Mitsubishi,Mitsubishi L200 Triton Diesel,2.2 Double Cab Style [Euro VI] (A),157988,15800,15799,2022,38890,-,33000,1650,12.8,Diesel (Euro VI),True
12609,7343,Ssangyong,Ssangyong Tivoli,1.5 Deluxe (A),127888,11800,51155,1091,70200,682,20191,20267,14.7,Petrol,True
12610,7351,Ssangyong,Ssangyong Tivoli Diesel,1.6 Standard (A),119888,11000,35966,1193,70200,1282,19736,19736,19.2,Diesel (Euro VI),True
12612,7659,Land Rover,Land Rover Range Rover Mild Hybrid,3.0 P400 SWB Vogue (A),485999,-,194400,4147,70200,2380,-,-,10.9,Petrol-Electric,True
12618,7407,Toyota,Toyota Corolla Altis,1.6 Standard (A),109888,10000,32966,1094,47001,742,19430,19430,15.6,Petrol,True
12618,7408,Toyota,Toyota Corolla Altis,1.6 Elegance (A),116888,10600,46755,997,47001,742,21556,22178,15.6,Petrol,True
12619,7415,BMW,BMW X6,xDrive40i M Sport,414888,34800,165955,3540,70200,2382,89371,132868,11.1,Petrol,True
12620,8044,Audi,Audi e-tron Electric,50 quattro Advanced 71 kWh (A),337960,29700,135184,2884,70200,2586,80318,81572,23.6,Electric,True
12620,7418,Audi,Audi e-tron Electric,55 quattro 95 kWh (A),377901,33500,151160,3225,70200,3132,82838,86108,25.1,Electric,True
12622,7378,BMW M Series,BMW M Series M235i Gran Coupe,2.0 xDrive (A),289888,25800,115955,2474,70200,1210,51431,64576,13.2,Petrol,True
12624,7547,BMW M Series,BMW M Series X6 M,4.4 xDrive Competition (A),662888,-,265155,5656,70200,4566,-,-,8,Petrol,True
12625,7411,BMW M Series,BMW M Series M8 Coupe,4.4 xDrive Competition (A),773888,-,309555,6603,70200,4566,-,-,9.6,Petrol,True
12626,7731,Kia,Kia Seltos,1.4 EX (A),128999,12000,38700,1284,70200,598,17412,17412,15.9,Petrol,True
12626,7732,Kia,Kia Seltos,1.4 SX (A),138999,12800,55600,1186,70200,598,21060,21484,15.9,Petrol,True
12627,7379,BMW,BMW X3 Plug-in Hybrid,xDrive30e xLine (A),312888,-,125155,2670,70200,1210,-,-,38.5,Petrol-Electric,True
12631,7403,Mazda,Mazda CX-30,2.0 Classic (A),134888,12300,53955,1151,70200,1210,22436,23410,15.2,Petrol,True
12631,7404,Mazda,Mazda CX-30,2.0 Elegance (A),142888,13300,42866,1422,70200,1210,19770,19770,15.2,Petrol,True
12631,7405,Mazda,Mazda CX-30,2.0 Luxury (A),147888,13500,59155,1262,70200,1210,23594,25032,15.2,Petrol,True
12632,7785,Jeep,Jeep Gladiator Overland Petrol,3.6 V6 (A),205999,20600,20600,2637,38890,-,41000,2050,9.3,Petrol,True
12633,8438,MINI,MINI Electric,Collection 32.64 kWh (A),182888,-,73155,1561,70200,1470,-,-,15.2,Electric,True
12633,8269,MINI,MINI Electric,32.64 kWh (A),183888,-,73555,1569,70200,1470,-,-,15.2,Electric,True
12634,7980,Audi,Audi e-tron Sportback Electric,50 quattro Advanced 71 kWh (A),338461,31000,135384,2888,70200,2586,71704,56067,23.2,Electric,True
12636,7503,Audi,Audi Q3 Sportback,1.4 TFSI S tronic [17" Rim] (A),198089,18100,79236,1690,70200,622,29719,33607,14.2,Petrol,True
12636,7664,Audi,Audi Q3 Sportback,2.0 TFSI qu S tronic (A),235263,-,94105,2007,70200,1194,-,-,12.7,Petrol,True
12643,8193,Peugeot,Peugeot 2008,1.2 PureTech EAT8 Allure Premium (A),116888,10500,46755,997,47001,508,22598,23637,19.6,Petrol,True
12643,8194,Peugeot,Peugeot 2008,1.2 PureTech EAT8 GT (A),129888,11600,51955,1108,47001,508,26100,28540,19.6,Petrol,True
12644,7461,Ssangyong,Ssangyong Korando,1.5 (A),143888,13200,57555,1228,70200,682,22481,23473,14.3,Petrol,True
12645,7905,Volkswagen,Volkswagen T-Cross,1.0 TSI DSG R-Line (A),118900,10700,47560,1015,47001,390,22396,23354,18.5,Petrol,True
12646,8078,Lexus,Lexus LC 500 Convertible,5.0 V8 (A),587800,-,235120,5016,70200,5464,-,-,7.9,Petrol,True
12647,7409,Toyota,Toyota Corolla Altis Hybrid,1.8 (A),149888,14100,59955,1279,70200,976,29232,17925,22.7,Petrol-Electric,True
12649,7465,Land Rover,Land Rover Discovery Sport Mild Hybrid,2.0 SE 7-Seater (A),253999,23100,101600,2167,70200,1208,38731,46223,13,Petrol-Electric,True
12649,7419,Land Rover,Land Rover Discovery Sport Mild Hybrid,2.0 R Dynamic SE 7-Seater (A),262999,23900,105200,2244,70200,1208,40195,48273,13,Petrol-Electric,True
12650,7428,MG,MG ZS Electric,44.5kWh (A),135888,13300,54355,1160,70200,1118,32941,5000,14.7,Electric,True
12651,7429,MG,MG HS,1.5 Turbo (A),131888,12200,39566,1313,70200,678,19699,19699,14.7,Petrol,True
12653,7829,Mazda,Mazda CX-8,2.5 Elegance 7-Seater (A),176888,15900,70755,1509,70200,1784,31035,35449,12.3,Petrol,True
12653,7830,Mazda,Mazda CX-8,2.5 Luxury 7-Seater (A),186888,16900,74755,1595,70200,1784,31154,35616,12.3,Petrol,True
12653,7831,Mazda,Mazda CX-8,2.5 Luxury 6-Seater (A),189888,17200,75955,1620,70200,1784,31449,36029,12.3,Petrol,True
12659,7452,MINI,MINI One Clubman,1.5 (A),153888,13500,61555,1313,47001,684,32003,36804,18.2,Petrol,True
12660,8036,MINI,MINI John Cooper Works Countryman,2.0 (A),268888,-,107555,2294,70200,1210,-,-,14.3,Petrol,True
12665,7472,BMW,BMW 2 Series Gran Coupe,218i Luxury (A),200888,18000,80355,1714,70200,684,35703,41984,16.9,Petrol,True
12665,7473,BMW,BMW 2 Series Gran Coupe,218i M Sport (A),203888,18300,81555,1740,70200,684,36101,42541,16.9,Petrol,True
12667,7477,Audi,Audi A6 Avant Mild Hybrid,2.0 TFSI S tronic Design [190PS] (A),276075,24600,110430,2356,70200,1194,47997,59196,16.1,Petrol-Electric,True
12672,7504,McLaren,McLaren GT,4.0 V8 (A),859000,-,-,-,70200,3940,-,-,8.4,Petrol,False
12672,7513,McLaren,McLaren GT,4.0 V8 Luxe (A),934000,-,-,-,70200,3940,-,-,8.4,Petrol,False
12672,7512,McLaren,McLaren GT,4.0 V8 Pioneer (A),934000,-,-,-,70200,3940,-,-,8.4,Petrol,False
12674,7506,McLaren,McLaren 600LT Coupe,3.8 V8 (A),880000,-,-,-,70200,3634,191605,316889,8.4,Petrol,False
12675,7511,Ferrari,Ferrari F8 Spider,3.9 V8 (A),1098000,-,-,-,70200,3796,305000,521000,7.8,Petrol,False
12677,7514,Ferrari,Ferrari SF90 Stradale Plug-in Hybrid,4.0 V8 (A),1818000,-,-,-,70200,3934,510000,890000,,Petrol-Electric,False
12678,7515,Mercedes-Benz,Mercedes-Benz G-Class,G63 AMG (A),739888,61500,295955,6313,70200,3920,154067,249321,7.6,Petrol,True
12679,7517,Ferrari,Ferrari 812 GTS,6.5 V12 (A),1560000,-,-,-,70200,7852,440000,764000,6,Petrol,False
12680,7518,Ferrari,Ferrari Roma,3.9 V8 (A),888000,-,-,-,70200,3722,250000,422000,,Petrol,False
12683,7539,McLaren,McLaren 720S Spider,4.0 V8 (A),1143000,-,-,-,70200,3940,-,-,8.2,Petrol,False
12684,7540,Mercedes-Benz,Mercedes-Benz GLS-Class Mild Hybrid,GLS450 4MATIC (A),508888,43800,203555,4342,70200,2384,93953,141115,10.9,Petrol-Electric,True
12685,7548,BMW,BMW X5 Plug-in Hybrid,xDrive45e xLine (A),404888,-,161955,3455,70200,2382,-,-,58.8,Petrol-Electric,True
12688,7616,Audi,Audi A5 Sportback Mild Hybrid,2.0 TFSI S tronic (A),228062,20600,91225,1946,70200,1194,36747,43446,15.6,Petrol-Electric,True
12688,7618,Audi,Audi A5 Sportback Mild Hybrid,2.0 TFSI qu S tronic S line (A),312384,-,124954,2666,70200,1194,-,-,14,Petrol-Electric,True
12691,7555,BMW M Series,BMW M Series M8 Gran Coupe,4.4 xDrive Competition (A),773888,-,309555,6603,70200,4566,-,-,9.3,Petrol,True
12696,7614,Audi,Audi A5 Coupe Mild Hybrid,2.0 TFSI S tronic (A),232100,20800,92840,1980,70200,1194,40134,48188,16.1,Petrol-Electric,True
12697,7619,Audi,Audi A5 Cabriolet Mild Hybrid,2.0 TFSI S tronic Advanced (A),291428,25600,116571,2487,70200,1194,54441,69994,14.9,Petrol-Electric,True
12700,8136,SKODA,SKODA Kamiq,1.5 TSI Ambition (A),139900,-,55960,1194,70200,684,-,-,17.9,Petrol,True
12700,8137,SKODA,SKODA Kamiq,1.5 TSI Style (A),149900,-,59960,1279,70200,684,-,-,17.9,Petrol,True
12700,8138,SKODA,SKODA Kamiq,1.5 TSI Monte Carlo (A),155900,-,62360,1330,70200,684,-,-,17.9,Petrol,True
12701,7680,Honda,Honda City,1.5 SV i-VTEC (A),100799,9200,30240,1003,47001,684,18150,18150,17.9,Petrol,True
12701,7693,Honda,Honda City,1.5 RS i VTEC (A),103499,9400,31050,1030,47001,684,19022,19022,17.9,Petrol,True
12701,7706,Honda,Honda City,1.5 SV i-VTEC LX (A),104399,-,-,-,47001,684,-,-,17.9,Petrol,True
12701,7707,Honda,Honda City,1.5 RS i VTEC LX (A),107099,-,-,-,47001,684,-,-,17.9,Petrol,True
12703,7584,Rolls-Royce,Rolls-Royce Phantom,6.75 V12 (A),POA,-,-,-,70200,8248,-,-,7.1,Petrol,True
12703,7585,Rolls-Royce,Rolls-Royce Phantom,6.75 V12 Extended (A),POA,-,-,-,70200,8248,-,-,7.1,Petrol,True
12708,8011,Aston Martin,Aston Martin DBX,4.0 V8 (A),POA,-,-,-,70200,3920,-,-,7,Petrol,True
12709,7857,Audi,Audi RS 7 Sportback Mild Hybrid,4.0 TFSI qu Tip (A),601247,-,240499,5130,70200,3942,-,-,,Petrol-Electric,True
12710,7797,Audi,Audi RS 6 Avant Mild Hybrid,4.0 TFSI qu Tip (A),588247,50900,235299,5019,70200,3942,103517,158331,7.6,Petrol-Electric,True
12711,8192,Bentley,Bentley Flying Spur,4.0 V8 (A),POA,-,-,-,70200,3942,-,-,7.9,Petrol,True
12711,7819,Bentley,Bentley Flying Spur,6.0 W12 (A),POA,-,-,-,70200,6998,245383,413689,7.6,Petrol,True
12714,8166,Porsche,Porsche Taycan Electric,Performance Battery 79 kWh (A),345858,-,-,-,70200,2742,-,-,28,Electric,False
12714,7631,Porsche,Porsche Taycan Electric,4S Performance Battery 79.2 kWh (A),468258,-,-,-,70200,5088,134177,178519,26.2,Electric,False
12714,7632,Porsche,Porsche Taycan Electric,Turbo 93.4 kWh (A),603858,-,-,-,70200,6808,-,-,28,Electric,False
12714,7633,Porsche,Porsche Taycan Electric,Turbo S 93.4 kWh (A),748158,-,-,-,70200,7746,-,-,28.5,Electric,False
12715,7607,BMW,BMW 5 Series Sedan Mild Hybrid,520i Luxury (A),311888,27700,124755,2661,70200,1210,54710,70478,18.2,Petrol-Electric,True
12715,7972,BMW,BMW 5 Series Sedan Mild Hybrid,520i M Sport (A),321888,28500,128755,2747,70200,1210,56850,74330,18.2,Petrol-Electric,True
12715,7858,BMW,BMW 5 Series Sedan Mild Hybrid,530i M Sport (A),328888,28500,131555,2806,70200,1210,63816,86869,17.9,Petrol-Electric,True
